percent,MSI_ref,AS7343,group,species
25,0.0133539997041225,-0.010756152977255,dinoflagellate,s. zambalensis
30,0.0136620001867413,-0.0026396281220723,dinoflagellate,s. zambalensis
35,0.0134549997746944,-0.0006605605337784,dinoflagellate,s. zambalensis
40,0.0251640006899833,0.0109708681855061,dinoflagellate,s. zambalensis
45,0.0219759996980428,0.008074673515458,dinoflagellate,s. zambalensis
50,0.0271109994500875,0.0123894816067341,dinoflagellate,s. zambalensis
60,0.0404389984905719,0.0192006940023732,dinoflagellate,s. zambalensis
70,0.0354419983923435,0.036768847787089,dinoflagellate,s. zambalensis
80,0.0419409982860088,0.0365347927830947,dinoflagellate,s. zambalensis
90,0.0476059988141059,0.0616545970046662,dinoflagellate,s. zambalensis
100,0.0484949983656406,0.0824738882081487,dinoflagellate,s. zambalensis
