450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,rf,svc,xgb_f,xgb_d,regr_xgb_f
0.0064773937,0.0106749535,0.0103648957,0.0170772765,0.0077984319,0.0078197811,0.0128542697,0.0222715903,2,1,1,1,7.451963
0.0788590834,0.0794383362,0.0691084936,0.0937040001,0.0682672486,0.0696174353,0.0801547617,0.1166188866,2,2,1,0,72.784096
0.0118472688,0.0081182979,0.0081187496,0.0053487956,0.0054685967,0.0040407837,0.0042248978,0.0069846357,2,1,1,2,7.312128
0.1529121697,0.1525373310,0.1372336745,0.1895867288,0.1338216364,0.1389161795,0.1624392569,0.2402356863,2,2,1,2,48.864758
0.0109088775,0.0095415358,0.0083360830,0.0093620764,0.0068691885,0.0061181327,0.0066929199,0.0123492517,2,1,1,1,4.147861
0.0689590871,0.0697411299,0.0622132160,0.0822249278,0.0607001260,0.0624118373,0.0715631992,0.1018034443,2,2,1,0,72.784096
0.0126897627,0.0141082713,0.0128957080,0.0189509299,0.0122642191,0.0124212094,0.0141096599,0.0253881030,2,1,1,1,5.863392
0.0452573746,0.0483392961,0.0431691073,0.0581545457,0.0404879563,0.0418232791,0.0492041111,0.0718952343,2,2,1,0,60.306210
-0.0027182214,0.0019214111,0.0014177428,0.0054323655,-0.0005480211,-0.0004320377,0.0032360568,0.0077439179,1,1,1,1,-19.814985
0.0124605494,0.0139514431,0.0131455697,0.0192971043,0.0126644615,0.0128192389,0.0150031513,0.0251795221,2,1,1,1,7.257913
0.0463145487,0.0368720815,0.0347282439,0.0390061252,0.0311624892,0.0297165569,0.0325472578,0.0532907508,2,2,1,0,60.306210
0.0127756083,0.0041129608,0.0044795075,0.0012166126,0.0036307666,0.0023171743,0.0010259745,0.0027610483,2,2,2,2,5.920039
0.0149507606,0.0058083921,0.0058296942,0.0031425301,0.0047311601,0.0040324377,0.0039158566,0.0059962184,2,2,1,2,5.290927
0.0055443533,0.0082674092,0.0069486699,0.0111730844,0.0068509914,0.0070096962,0.0077282796,0.0148559138,2,1,1,1,0.475591
0.0472639725,0.0433286317,0.0392329358,0.0488209315,0.0381102487,0.0378040634,0.0423591249,0.0602079965,2,2,2,0,60.306210
0.0081245163,0.0086419322,0.0079728169,0.0101797450,0.0057619256,0.0073025520,0.0076850746,0.0132010020,2,1,1,1,5.471402
0.0127061410,0.0144417742,0.0132205607,0.0191239771,0.0124181081,0.0128531344,0.0140420580,0.0251795221,2,1,1,1,5.863392
0.0063652857,0.0035625871,0.0027883269,0.0011193617,0.0044572786,0.0043831212,0.0005198764,0.0023127983,2,2,1,2,6.893584
0.0122297257,0.0089604575,0.0085949712,0.0080879461,0.0091962842,0.0084905252,0.0069636828,0.0117992498,2,1,1,1,7.291049
0.0080915829,0.0067103226,0.0068421592,0.0081836134,0.0053255740,0.0048801485,0.0063484376,0.0116648730,2,1,1,1,5.917439
0.0029665232,0.0083155837,0.0088793170,0.0126768509,0.0072818999,0.0051622801,0.0090065245,0.0166858695,2,1,1,1,0.255067
0.0791155696,0.0800069645,0.0731157064,0.0902724639,0.0662401319,0.0629604459,0.0726995468,0.1128003448,2,2,1,2,72.818657
0.0131753422,0.0095590930,0.0090132095,0.0090551442,0.0099240858,0.0094800182,0.0075057242,0.0123845479,2,1,1,1,5.489507
0.1354579031,0.1284195781,0.1172779277,0.1421547532,0.1042957827,0.0995507985,0.1142118275,0.1813140661,2,2,1,2,48.864758
0.0228003338,0.0217307638,0.0202014856,0.0253315493,0.0217544902,0.0221610162,0.0218980685,0.0306452978,2,1,1,0,24.588131
-0.0032835305,-0.0029209461,-0.0026054280,-0.0019312986,-0.0032085087,-0.0030072513,-0.0028085229,-0.0022308249,2,2,1,1,-23.053150
0.0095607229,0.0066934298,0.0057467199,0.0046855449,0.0059325262,0.0064857723,0.0035936511,0.0067372862,2,2,1,2,5.519450
0.0307397172,0.0296814945,0.0270698294,0.0336182900,0.0259241518,0.0266282856,0.0307919253,0.0398940854,2,1,1,0,23.816591
0.0310072582,0.0280561689,0.0274917390,0.0339683853,0.0264010560,0.0274702832,0.0299821962,0.0393907130,2,1,1,0,23.198051
0.1126450375,0.1076324582,0.0967827290,0.1283774078,0.0945244282,0.0972644389,0.1120728552,0.1604376435,2,2,1,2,73.118057
0.1001151428,0.0997370556,0.0904772431,0.1126257107,0.0822956860,0.0787179768,0.0908386111,0.1411541253,2,2,1,2,72.834930
0.0067271362,0.0093578398,0.0099929459,0.0144063821,0.0093584387,0.0093780765,0.0120869186,0.0179108456,2,1,1,1,7.542843
