,450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,percent
253,-0.0017898870143541,-0.0014175770344974,-0.0022389930232409,-1.349567418237928e-05,-0.0020286556339775,-0.0021869043280382,-0.0017209995581065,-0.0009484373900113,10.0
965,0.0105076962757673,0.0004321450493012,4.886033975478463e-05,-0.0019644511561933,0.0001924445881718,0.0008305551038276,-0.0008734975957876,-0.0018338166635738,35.0
263,0.0041571567944878,0.0089907486769768,0.0075311908758962,0.0105012383710727,0.0061163151018021,0.0066930294505144,0.0088667786903558,0.0110297206256122,12.0
663,0.0189261696084999,0.0226009179073262,0.0199525771009015,0.0185412131552686,0.0189142157371158,0.0175880171732146,0.0176097643291645,0.0185427952942865,8.0
410,0.0178929592086476,0.0198834747748203,0.0186033740205571,0.017381458750054,0.0167531107967428,0.0146182511046566,0.014983170345575,0.0181422630534317,100.0
155,0.04065824926746,0.0396267817156899,0.034285319703143,0.0329599231147273,0.0331098634826292,0.0342136121755216,0.0344257805935899,0.0338070507710062,50.0
751,0.0506281330595959,0.0481497258724453,0.0442696387582959,0.0359811241895582,0.0373321229038951,0.035370376583054,0.0355891027549647,0.0369195409499955,35.0
230,-0.0055752303160827,-0.0058059484426957,-0.0057903656274074,-0.0022977382197094,-0.0055143548024377,-0.0051424815127812,-0.0036420656424916,-0.0027620889469283,6.0
677,0.0221900761386953,0.0254108296649104,0.0230536729498178,0.0210901395022273,0.0206848248923382,0.0210061357262167,0.0210507336128144,0.0219236550118436,10.0
1029,0.0270699244857299,0.018679907217853,0.0163808724801562,0.011771290488888,0.0144002361970428,0.0147261180441195,0.0121094735245357,0.0135744359929215,80.0
408,0.0157402154589091,0.0196341918648119,0.0188600028409919,0.0173127609111773,0.0149145748848979,0.0138496382830029,0.0159080542705601,0.0181671084416018,90.0
80,0.0222784792189849,0.0241900369098208,0.021005490491709,0.019627333729729,0.0193948708052635,0.020208073489525,0.020465482726763,0.0200424658053809,18.0
765,0.0673972717299847,0.0680252026069468,0.0631208344597103,0.0521802624194489,0.0549843511963521,0.0518490926132719,0.0520622124970747,0.0558289024287505,40.0
422,0.0061444640532542,0.0055584389514311,0.0060928912214623,0.0064430697960704,0.005208459116488,0.0060916492926284,0.005705177477066,0.0048840185431912,2.0
64,0.0221236934370258,0.0235023607675791,0.0206100348181613,0.0193403203861943,0.0190110043628328,0.0199680310562905,0.0201117273521751,0.0200424658053809,14.0
557,0.0995034148964733,0.0946397161420026,0.0849254958971165,0.0772400791438397,0.0785692876908418,0.08159021556183,0.0824611115683284,0.0811009248299334,40.0
343,0.0134028633521225,0.0151786244313143,0.0129507788749064,0.0137995819925476,0.0119536758421746,0.0123905521368714,0.0122704627805044,0.0150586327876038,40.0
97,0.0278195287060375,0.029023871039385,0.0248129339054696,0.0232339272301954,0.0238157703001477,0.0252215753794782,0.0241867442333853,0.0237990428379925,20.0
937,0.0104347668077642,0.0078738817164674,0.0058565505205044,0.0039689284338628,0.0059934634220605,0.0064581185866628,0.0031301012556827,0.0043497934438449,20.0
284,0.003046312835261,0.0083734011958698,0.0081628000892957,0.0091504944567472,0.0066841652577838,0.004752780353038,0.0075448399396973,0.0094721590564589,16.0
1014,0.0270783964710921,0.017974044173965,0.0164585944832341,0.0117539545066598,0.0131700141279953,0.0129799213149598,0.012413234764723,0.0129942150004264,70.0
44,0.0230043844692351,0.0221214680094915,0.0190490998224677,0.0176082234186512,0.0202163382136021,0.0210414693157904,0.0185757905434143,0.0173569797071354,10.0
